#Supplementary Table 20: Meta-analysis results for ICD10/ICF chapter level.
ICD10-ICF Chapter,rMZall,rMZM,rMZF,rDZall,rDZSS,rDZM,rDZF,rDOS,SE_MZall,SE_MZM,SE_MZF,SE_DZall,SE_DZSS,SE_DZM,SE_DZF,SE_DOS,AFULL_all,ABEST_all,AFULL_SS,ABEST_SS,AFULL_M,ABEST_M,AFULL_F,ABEST_F,SE_AFULL_all,SE_ABEST_all,SE_AFULL_SS,SE_ABEST_SS,SE_AFULL_M,SE_ABEST_M,SE_AFULL_F,SE_ABEST_F,CFULL_all,CBEST_all,CFULL_SS,CBEST_SS,CFULL_M,CBEST_M,CFULL_F,CBEST_F,SE_CFULL_all,SE_CBEST_all,SE_CFULL_SS,SE_CBEST_SS,SE_CFULL_M,SE_CBEST_M,SE_CFULL_F,SE_CBEST_F,freq_rMZall,freq_rMZM,freq_rMZF,freq_rDZall,freq_rDZSS,freq_rDZM,freq_rDZF,freq_rDOS,freq_AFULL_all,freq_ABEST_all,freq_AFULL_SS,freq_ABEST_SS,freq_AFULL_M,freq_ABEST_M,freq_AFULL_F,freq_ABEST_F,freq_CFULL_all,freq_CBEST_all,freq_CFULL_SS,freq_CBEST_SS,freq_CFULL_M,freq_CBEST_M,freq_CFULL_F,freq_CBEST_F,nMZall,nMZM,nMZF,nDZall,nDZSS,nDZM,nDZF,nDOS,nAFULL_all,nABEST_all,nAFULL_SS,nABEST_SS,nAFULL_M,nABEST_M,nAFULL_F,nABEST_F,nCFULL_all,nCBEST_all,nCFULL_SS,nCBEST_SS,nCFULL_M,nCBEST_M,nCFULL_F,nCBEST_F
Voice and Speech Functions,0.235,NA,NA,0.128,NA,NA,NA,NA,0.034,NA,NA,0.047,NA,NA,NA,NA,0.151,0.129,NA,NA,NA,NA,NA,NA,0.041,0.056,NA,NA,NA,NA,NA,NA,0.091,0.087,NA,NA,NA,NA,NA,NA,0.038,0.056,NA,NA,NA,NA,NA,NA,6,0,0,6,0,0,0,0,6,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,750,NA,NA,648,NA,NA,NA,NA,"1,398","1,398",NA,NA,NA,NA,NA,NA,"1,398","1,398",NA,NA,NA,NA,NA,NA
Benign Neoplasms,NA,NA,0.395,NA,NA,NA,0.213,NA,NA,NA,0.051,NA,NA,NA,0.046,NA,NA,NA,NA,NA,NA,NA,0.440,0.550,NA,NA,NA,NA,NA,NA,0.032,0.051,NA,NA,NA,NA,NA,NA,0.060,0.000,NA,NA,NA,NA,NA,NA,0.041,0.029,0,0,10,0,0,0,8,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,5,6,NA,NA,276,NA,NA,NA,431,NA,NA,NA,NA,NA,NA,NA,588,"1,216",NA,NA,NA,NA,NA,NA,588,"1,216"
"Pregnancy, Childbirth and the Puerperium",0.278,0.273,0.315,0.202,0.202,0.208,0.121,0.204,0.104,0.097,0.042,0.084,0.086,0.086,0.053,0.083,0.117,0.117,NA,NA,NA,NA,0.221,0.261,0.069,0.069,NA,NA,NA,NA,0.044,0.067,0.310,0.310,NA,NA,NA,NA,0.016,0.000,0.033,0.033,NA,NA,NA,NA,0.018,0.015,5,5,18,5,5,5,16,5,5,5,0,0,0,0,10,6,5,5,0,0,0,0,10,6,"4,640","2,290","6,823","18,800","14,095","7,180","10,436","4,705","23,440","23,440",NA,NA,NA,NA,"4,723","4,342","23,440","23,440",NA,NA,NA,NA,"4,723","4,342"
Mobility,0.303,0.249,0.445,NA,0.119,0.108,0.230,NA,0.026,0.030,0.029,NA,0.028,0.019,0.033,NA,NA,0.250,0.290,0.280,0.234,0.198,0.263,0.354,NA,0.042,0.040,0.051,0.031,0.052,0.034,0.038,NA,0.000,0.030,0.000,0.009,0.003,0.183,0.074,NA,0.027,0.022,0.027,0.011,0.011,0.052,0.043,11,24,18,0,11,23,18,0,0,6,5,5,17,17,9,17,0,6,5,5,17,22,9,17,"1,176","2,811","1,421",NA,"1,612","3,062","1,799",NA,NA,"1,356","2,064","1,435","7,906","3,142","1,706","3,130",NA,"1,356","2,064","1,435","7,906","8,391","1,706","3,130"
Interpersonal Interactions and Relationships,0.362,0.399,0.402,0.267,0.213,0.246,0.216,0.252,0.019,0.029,0.032,0.040,0.016,0.024,0.026,0.045,0.317,0.315,0.245,0.205,0.297,0.281,0.291,0.299,0.037,0.031,0.025,0.031,0.030,0.039,0.025,0.041,0.189,0.138,0.181,0.114,0.126,0.116,0.132,0.107,0.051,0.047,0.034,0.033,0.022,0.027,0.023,0.028,158,61,43,25,144,60,42,19,27,34,31,50,48,36,46,36,27,35,31,50,48,33,46,40,"51,906","21,431","18,703","22,927","36,604","16,752","17,017","12,327","53,750","52,797","29,716","26,066","41,008","33,787","41,607","30,630","53,750","56,511","29,716","26,157","41,008","34,985","41,607","35,263"
Work and Employment,0.375,0.513,0.477,0.304,0.248,0.320,0.311,NA,0.039,0.065,0.049,0.120,0.045,0.067,0.065,NA,0.199,0.199,NA,NA,NA,NA,NA,NA,0.091,0.091,NA,NA,NA,NA,NA,NA,0.067,0.067,NA,NA,NA,NA,NA,NA,0.066,0.066,NA,NA,NA,NA,NA,NA,27,10,10,4,22,9,9,2,3,3,0,1,1,1,1,1,3,3,0,0,1,1,1,1,"7,011","1,798","2,312","2,053","6,486","2,827","2,757",803,"1,646","1,646",NA,151,265,265,504,504,"1,646","1,646",NA,NA,265,265,504,504
Communication,0.388,NA,NA,NA,0.014,NA,NA,NA,0.066,NA,NA,NA,0.185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mortality,0.391,0.351,0.379,NA,0.231,0.208,0.238,NA,0.036,0.040,0.038,NA,0.040,0.037,0.043,NA,NA,0.209,0.450,0.426,0.433,0.447,0.407,0.375,NA,0.081,0.022,0.022,0.038,0.031,0.032,0.026,NA,0.000,0.035,0.002,0.067,0.014,0.016,0.000,NA,0.018,0.014,0.005,0.028,0.014,0.015,0.008,31,31,29,1,29,31,29,0,2,3,8,16,9,16,9,16,2,3,8,16,9,16,9,16,"25,027","12,641","11,403",341,"44,705","21,424","21,899",NA,"1,200","3,076","22,338","35,698","10,492","15,595","11,616","17,094","1,200","3,076","22,338","35,698","10,492","15,595","11,616","17,094"
Diseases of the Blood and Blood-Forming Organs and Certain Disorders Involving the Immune Mechanism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,17,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,"11,240",NA,NA,NA,NA,NA,NA,NA,"11,240",NA,NA,NA,NA
Malignant Neoplasms,0.405,0.543,0.479,NA,0.284,0.228,0.305,NA,0.030,0.030,0.077,NA,0.032,0.052,0.065,NA,0.458,NA,0.272,0.000,NA,0.375,0.229,0.330,0.029,NA,0.032,0.025,NA,0.098,0.050,0.128,NA,NA,0.100,0.049,NA,0.070,0.119,0.015,NA,NA,0.033,0.044,NA,0.068,0.038,0.025,9,3,17,2,7,3,15,0,3,1,7,6,2,3,8,6,2,1,7,7,2,3,8,7,969,501,"7,198",124,"1,487",699,"11,064",NA,"6,722","6,470","2,382","1,572",646,"1,200","25,424","24,274","6,602","6,470","2,382","2,382",646,"1,200","25,424","25,326"
