#Supplementary Table 21: Meta-analysis results for ICD10/ICF subchapter level.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICD-10/ICF subchapter,rMZall,rMZM,rMZF,rDZall,rDZSS,rDZM,rDZF,rDOS,SE_MZall,SE_MZM,SE_MZF,SE_DZall,SE_DZSS,SE_DZM,SE_DZF,SE_DOS,AFULL_all,ABEST_all,AFULL_SS,ABEST_SS,AFULL_M,ABEST_M,AFULL_F,ABEST_F,SE_AFULL_all,SE_ABEST_all,SE_AFULL_SS,SE_ABEST_SS,SE_AFULL_M,SE_ABEST_M,SE_AFULL_F,SE_ABEST_F,CFULL_all,CBEST_all,CFULL_SS,CBEST_SS,CFULL_M,CBEST_M,CFULL_F,CBEST_F,SE_CFULL_all,SE_CBEST_all,SE_CFULL_SS,SE_CBEST_SS,SE_CFULL_M,SE_CBEST_M,SE_CFULL_F,SE_CBEST_F,freq_rMZall,freq_rMZM,freq_rMZF,freq_rDZall,freq_rDZSS,freq_rDZM,freq_rDZF,freq_rDOS,freq_AFULL_all,freq_ABEST_all,freq_AFULL_SS,freq_ABEST_SS,freq_AFULL_M,freq_ABEST_M,freq_AFULL_F,freq_ABEST_F,freq_CFULL_all,freq_CBEST_all,freq_CFULL_SS,freq_CBEST_SS,freq_CFULL_M,freq_CBEST_M,freq_CFULL_F,freq_CBEST_F,nMZall,nMZM,nMZF,nDZall,nDZSS,nDZM,nDZF,nDOS,nAFULL_all,nABEST_all,nAFULL_SS,nABEST_SS,nAFULL_M,nABEST_M,nAFULL_F,nABEST_F,nCFULL_all,nCBEST_all,nCFULL_SS,nCBEST_SS,nCFULL_M,nCBEST_M,nCFULL_F,nCBEST_F
Smell Function,0.188,0.240,NA,0.072,NA,0.193,NA,NA,0.028,0.078,NA,0.023,NA,0.110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,3,0,25,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"1,243",153,NA,"1,910",NA,138,NA,NA,NA,186,NA,NA,NA,NA,NA,NA,NA,186,NA,NA,NA,NA,NA,NA
"Mental Functions, Unspecified",0.221,0.170,0.251,0.148,0.148,0.094,0.338,0.154,0.037,0.044,0.077,0.065,0.071,0.079,0.109,0.045,NA,0.082,0.168,0.168,NA,NA,NA,NA,NA,0.066,0.075,0.075,NA,NA,NA,NA,NA,0.168,0.000,0.000,NA,NA,NA,NA,NA,0.077,0.050,0.050,NA,NA,NA,NA,11,6,6,8,11,4,4,7,0,4,5,5,0,2,0,2,0,4,5,5,0,2,0,2,"3,337","1,347","1,731","1,843","1,165",475,525,770,NA,"4,402",413,413,NA,892,NA,"1,046",NA,"4,402",413,413,NA,892,NA,"1,046"
Basic Interpersonal Interactions,0.227,0.632,0.711,0.453,0.128,0.475,0.567,0.526,0.059,0.031,0.059,0.101,0.048,0.044,0.079,0.052,0.300,0.300,NA,0.083,0.475,0.484,NA,NA,0.017,0.017,NA,0.030,0.032,0.029,NA,NA,0.356,0.356,NA,0.051,0.164,0.158,NA,NA,0.080,0.080,NA,0.047,0.025,0.027,NA,NA,26,9,3,4,24,9,3,4,8,8,2,22,6,6,0,0,8,8,2,22,6,6,0,0,"4,183","2,853",429,"2,138","4,260","2,131",615,"1,929","17,185","17,185","1,427","6,847","3,883","3,883",NA,NA,"17,185","17,185","1,427","6,847","3,883","3,883",NA,NA
Slow Fetal Growth and Fetal Malnutrition,0.231,0.046,0.341,NA,NA,NA,0.152,NA,0.033,0.066,0.035,NA,NA,NA,0.042,NA,NA,NA,NA,NA,NA,NA,0.361,0.233,NA,NA,NA,NA,NA,NA,0.044,0.050,NA,NA,NA,NA,NA,NA,0.015,0.000,NA,NA,NA,NA,NA,NA,0.016,0.019,3,3,6,0,2,2,5,0,0,0,0,2,0,2,3,4,0,0,0,0,0,0,3,4,818,232,"2,362",NA,646,249,"2,752",NA,NA,NA,NA,"1,171",NA,447,"4,147","2,846",NA,NA,NA,NA,NA,NA,"4,147","2,846"
Voice Functions,0.235,NA,NA,0.128,NA,NA,NA,NA,0.034,NA,NA,0.047,NA,NA,NA,NA,0.151,0.129,NA,NA,NA,NA,NA,NA,0.041,0.056,NA,NA,NA,NA,NA,NA,0.091,0.087,NA,NA,NA,NA,NA,NA,0.038,0.056,NA,NA,NA,NA,NA,NA,6,0,0,6,0,0,0,0,6,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,750,NA,NA,648,NA,NA,NA,NA,"1,398","1,398",NA,NA,NA,NA,NA,NA,"1,398","1,398",NA,NA,NA,NA,NA,NA
Complex Interpersonal Interactions,0.243,0.224,0.249,NA,0.147,0.106,0.147,NA,0.015,0.030,0.014,NA,0.019,0.038,0.019,NA,NA,NA,0.164,0.000,0.172,0.000,0.173,0.000,NA,NA,0.015,0.014,0.032,0.032,0.019,0.011,NA,NA,0.081,0.000,0.055,0.000,0.078,0.000,NA,NA,0.018,0.017,0.024,0.053,0.020,0.009,13,14,14,0,13,14,14,0,0,0,13,4,14,8,14,8,0,0,13,3,14,3,14,11,"8,099",994,"7,728",NA,"7,644",714,"7,518",NA,NA,NA,"15,743","4,844","1,708",976,"15,246","8,712",NA,NA,"15,743","3,633","1,708",366,"15,246","11,979"
Superficial Injuries Involving Multiple Body Regions,0.255,NA,0.279,0.155,NA,NA,0.249,NA,0.074,NA,0.100,0.041,NA,NA,0.101,NA,NA,NA,NA,NA,NA,NA,0.112,0.134,NA,NA,NA,NA,NA,NA,0.097,0.121,NA,NA,NA,NA,NA,NA,0.202,0.123,NA,NA,NA,NA,NA,NA,0.096,0.122,6,0,3,6,0,0,3,0,2,2,0,0,0,0,3,3,2,2,0,0,0,0,3,3,"1,918",NA,82,"2,217",NA,NA,84,NA,"2,054","2,054",NA,NA,NA,NA,166,166,"2,054","2,054",NA,NA,NA,NA,166,166
Labour and Delivery Complicated By Umbilical Cord Complications,0.278,0.273,0.284,0.202,0.202,0.208,0.195,0.204,0.104,0.097,0.110,0.084,0.086,0.086,0.089,0.083,0.117,0.117,NA,NA,NA,NA,NA,NA,0.069,0.069,NA,NA,NA,NA,NA,NA,0.310,0.310,NA,NA,NA,NA,NA,NA,0.033,0.033,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,"4,640","2,290","2,350","18,800","14,095","7,180","6,915","4,705","23,440","23,440",NA,NA,NA,NA,NA,NA,"23,440","23,440",NA,NA,NA,NA,NA,NA
Control of Voluntary Movement Functions,0.299,NA,NA,NA,NA,NA,NA,NA,0.050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Walking and Moving,0.303,0.256,0.445,NA,0.119,0.114,0.230,NA,0.026,0.031,0.029,NA,0.028,0.018,0.033,NA,NA,0.250,0.290,0.280,0.244,0.212,0.263,0.354,NA,0.042,0.040,0.051,0.031,0.052,0.034,0.038,NA,0.000,0.030,0.000,0.010,0.003,0.183,0.074,NA,0.027,0.022,0.027,0.011,0.011,0.052,0.043,11,23,18,0,11,22,18,0,0,6,5,5,16,16,9,17,0,6,5,5,16,21,9,17,"1,176","2,703","1,421",NA,"1,612","2,941","1,799",NA,NA,"1,356","2,064","1,435","7,678","2,914","1,706","3,130",NA,"1,356","2,064","1,435","7,678","8,163","1,706","3,130"
