# Supplementary Table 33: Structure of assigned trait classifications
DOMAIN,ICD10/ICF CHAPTER level,ICD10/ICF SUBCHAPTER level,Ntraits
Activities,"Community, Social and Civic Life",Community Life,1
Activities,"Community, Social and Civic Life",Recreation and Leisure,30
Activities,Self-Care,Looking After One's Health,161
Aging,Functions of the Skin and Related Structures,Functions of Hair,2
Aging,Mobility,Household Tasks,1
Aging,Mobility,Walking and Moving,32
Aging,Skin and Related Structures,Physical Appearance,2
Cardiovascular,"Congenital Malformations, Deformations and Chromosomal Abnormalities",Other Congenital Malformations of Heart,1
Cardiovascular,Diseases of the Circulatory System,Acute Myocardial Infarction,1
Cardiovascular,Diseases of the Circulatory System,Angina Pectoris,1
Cardiovascular,Diseases of the Circulatory System,Aortic Aneurysm and Dissection,1
Cardiovascular,Diseases of the Circulatory System,Atrial Fibrillation and Flutter,1
Cardiovascular,Diseases of the Circulatory System,Cerebrovascular Diseases,1
Cardiovascular,Diseases of the Circulatory System,Chronic Ischaemic Heart Disease,8
Cardiovascular,Diseases of the Circulatory System,Essential (Primary) Hypertension,8
Cardiovascular,Diseases of the Circulatory System,Other Peripheral Vascular Diseases,6
Cardiovascular,Diseases of the Circulatory System,Other Venous Embolism and Thrombosis,1
Cardiovascular,"Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems",Blood Pressure Functions,368
Cardiovascular,"Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems",Blood Vessel Functions,4
Cardiovascular,"Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems",Exercise Tolerance Functions,10
Cardiovascular,"Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems",Heart Functions,314
Cardiovascular,"Structures of the Cardiovascular, Immunological and Respiratory Systems",Structure of Cardiovascular System,29
Cell,Cell,Cell Cycle,3
Cell,Cell,Cell Growth,2
Cell,Cell,Immunological System Functions,1
Cell,Function of Dna,Expression,7
Cell,Function of Dna,Gene Expression,22
Cell,Function of Dna,Receptor Binding,4
Cell,"Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems",Immunological System Functions,6
Cell,Structure of Dna,Methylation,24
Cell,Structure of Dna,Mtdna,2
Cell,Structure of Dna,Sister Chromatid Exchange,3
Cell,Structure of Dna,Structure of Dna,33
Cell,Structure of Dna,Telomeres,10
Cell,Structure of Dna,X-Inactivation,8
Cognitive,Communication,Producing Drawings and Photographs,3
Cognitive,Mental and Behavioural Disorders,Mild Mental Retardation,13
Cognitive,Mental and Behavioural Disorders,Specific Developmental Disorders of Scholastic Skills,3
Cognitive,Mental Functions,Attention Functions,62
Cognitive,Mental Functions,Calculation Functions,75
Cognitive,Mental Functions,Energy and Drive Functions,13
Cognitive,Mental Functions,Experience of Self and Time Functions,39
Cognitive,Mental Functions,Global Mental Functions,2
Cognitive,Mental Functions,Global Psychosocial Functions,10
Cognitive,Mental Functions,Higher-Level Cognitive Functions,660
Cognitive,Mental Functions,Intellectual Functions,18
Cognitive,Mental Functions,Memory Functions,195
Cognitive,Mental Functions,Mental Functions of Language,310
Cognitive,Mental Functions,"Mental Functions, Unspecified",15
Cognitive,Mental Functions,Perceptual Functions,27
Cognitive,Mental Functions,Psychomotor Functions,62
Connective tissue,Diseases of the Musculoskeletal System and Connective Tissue,Other Rheumatoid Arthritis,6
Connective tissue,Diseases of the Musculoskeletal System and Connective Tissue,"Other Soft Tissue Disorders, Not Elsewhere Classified",2
Dermatological,Diseases of the Skin and Subcutaneous Tissue,Acne,2
Dermatological,Diseases of the Skin and Subcutaneous Tissue,Atopic Dermatitis,19
Dermatological,Diseases of the Skin and Subcutaneous Tissue,Hypertrichosis,1
Dermatological,Diseases of the Skin and Subcutaneous Tissue,Other Acute Skin Changes Due to Ultraviolet Radiation,1
Dermatological,Diseases of the Skin and Subcutaneous Tissue,Other Specified Disorders of Skin and Subcutaneous Tissue In Diseases Classified Elsewhere,1
Dermatological,Diseases of the Skin and Subcutaneous Tissue,Psoriasis,5
Dermatological,Diseases of the Skin and Subcutaneous Tissue,Urticaria,1
Dermatological,Functions of the Skin and Related Structures,Functions of Hair,6
Dermatological,Functions of the Skin and Related Structures,Other Functions of the Skin,25
Dermatological,Functions of the Skin and Related Structures,Protective Functions of the Skin,5
Dermatological,Skin and Related Structures,Structure of Areas of Skin,111
Dermatological,Skin and Related Structures,Structure of Hair,4
Developmental,Certain Conditions Originating In the Perinatal Period,"Disorders Related to Short Gestation and Low Birth Weight, Not Elsewhere Classified",1
Developmental,Certain Conditions Originating In the Perinatal Period,Slow Fetal Growth and Fetal Malnutrition,8
Developmental,Certain Conditions Originating In the Perinatal Period,Unclassified,1
Developmental,"Congenital Malformations, Deformations and Chromosomal Abnormalities",Hypospadias,2
"Ear, Nose, Throat","Congenital Malformations, Deformations and Chromosomal Abnormalities",Cleft Lip,8
"Ear, Nose, Throat",Diseases of the Digestive System,Dentofacial Anomalies [Including Malocclusion],46
"Ear, Nose, Throat",Diseases of the Ear and Mastoid Process,Nonsuppurative Otitis Media,30
"Ear, Nose, Throat",Sensory Functions and Pain,Hearing Functions,31
"Ear, Nose, Throat",Sensory Functions and Pain,Smell Function,28
"Ear, Nose, Throat",Structures Involved In Voice and Speech,Structure of Mouth,217
"Ear, Nose, Throat",Symptoms and Signs Involving Speech and Voice,Voice Disturbances,1
"Ear, Nose, Throat","Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",Other Symptoms and Signs Involving the Digestive System and Abdomen,2
"Ear, Nose, Throat","The Eye, Ear and Related Structures",Structure of External Ear,2
"Ear, Nose, Throat",Voice and Speech Functions,Voice Functions,6
Endocrine,"Endocrine, Nutritional and Metabolic Diseases",Cystic Fibrosis,10
Endocrine,"Endocrine, Nutritional and Metabolic Diseases",Diabetes Mellitus,5
Endocrine,"Endocrine, Nutritional and Metabolic Diseases",Type 1 Diabetes Mellitus,12
Endocrine,"Endocrine, Nutritional and Metabolic Diseases",Type 2 Diabetes Mellitus,14
Endocrine,"Endocrine, Nutritional and Metabolic Diseases",Other Nontoxic Goitre,3
Endocrine,"Endocrine, Nutritional and Metabolic Diseases",Ovarian Dysfunction,2
Endocrine,"Endocrine, Nutritional and Metabolic Diseases",Thyroiditis,3
Endocrine,"Endocrine, Nutritional and Metabolic Diseases",Thyrotoxicosis,3
Endocrine,"Functions of the Digestive, Metabolic and Endocrine Systems",Endocrine Gland Functions,324
Endocrine,"Functions of the Digestive, Metabolic and Endocrine Systems","Water, Mineral and Electrolyte Balance Functions",22
Endocrine,"Pregnancy, Childbirth and the Puerperium",Diabetes Mellitus In Pregnancy,1
Environment,Factors Influencing Health Status and Contact with Health Services,"Acquired Absence of Organs, Not Elsewhere Classified",4
Environment,Factors Influencing Health Status and Contact with Health Services,Problems Related to Life-Management Difficulty,3
Environment,"Injury, Poisoning and Certain Other Consequences of External Causes",Superficial Injuries Involving Multiple Body Regions,9
Environment,Interpersonal Interactions and Relationships,Basic Interpersonal Interactions,6
Environment,Interpersonal Interactions and Relationships,Informal Social Relationships,15
Environment,Major Life Areas,Education,31
Environment,Major Life Areas,Informal Social Relationships,1
Environment,Major Life Areas,Intimate Relationships,2
Environment,Major Life Areas,Potential Health Hazards Related to Socioeconomic and Psychosocial Circumstances,152
Environment,Major Life Areas,Problems Related to Negative Life Events In Childhood,32
Environment,Major Life Areas,Problems Related to Upbringing,160
Environment,Major Life Areas,School Education,11
Environment,Major Life Areas,Work and Employment,4
Environment,Medication Effects,Diazepam Effects,6
Environment,Natural Environment and Human-Made Changes to Environment,Population,5
Environment,Products and Technology,Assets,8
Environment,Unclassified,Unclassified,2
Environment,Work and Employment,"Acquiring, Keeping and Terminating A Job",30
Environment,Work and Employment,Maintaining A Job,5
Environment,Work and Employment,Work and Employment,1
Gastrointestinal,"Congenital Malformations, Deformations and Chromosomal Abnormalities",Other Congenital Malformations of Upper Alimentary Tract,1
Gastrointestinal,Diseases of the Digestive System,Acute Appendicitis,2
Gastrointestinal,Diseases of the Digestive System,Crohn Disease [Regional Enteritis],4
Gastrointestinal,Diseases of the Digestive System,Dental Caries,17
Gastrointestinal,Diseases of the Digestive System,"Diseases of Oral Cavity, Salivary Glands and Jaws",71
Gastrointestinal,Diseases of the Digestive System,Diseases of Pulp and Periapical Tissues,17
